Tweet Coordinates,text,date,id,user,Place Info,location,Geo_Enabled,retweet,likes,lang,keyword
,RT @StevePeers: More than 100 councils and charities vow to boycott Home Office policy to deport rough sleepers https://t.co/OdsAFeKts9,10/08/2021 22:39,1.42523E+18,WhitesidePaula,,,TRUE,138,0,en,Charities
,"@ALLIANCELGB How do you speak for the whole community when you tweet such homophobia. @ChtyCommission, how are you… https://t.co/Jxx23UCd9A",10/08/2021 22:38,1.42523E+18,EAntihysteria,,Uk,FALSE,0,0,en,Charities
,RT @ChrisRandone: @Azeezayo6 @jvhak @curateproject Portions of the proceeds from NFT collection will get donating to my favorite mental hea…,10/08/2021 22:38,1.42523E+18,jvhak,,"London, UK",TRUE,1,0,en,Charities
,There are leftists who claim that liberals aren’t real leftists but then proceed to do nothing to support leftist c… https://t.co/wLyFSPYvhG,10/08/2021 22:38,1.42523E+18,RoocTheRooc,,In your eyes ,FALSE,0,0,en,Charities
,RT @JessicaTheLaw: The media focuses on the negative because it sells copy. A lot of environmental charities follow suit because they think…,10/08/2021 22:38,1.42523E+18,AggroAzteca,,no...,FALSE,775,0,en,Charities
,@Ed_Miliband If you can could you make it easier for people to donate to zoos animal businesses and animal charitie… https://t.co/Izep39kcoR,10/08/2021 22:38,1.42523E+18,wingate49422354,,,FALSE,0,0,en,Charities
,"RT @TammyWolffs: There can be no other purpose to legislation that threatens to deregister charities that advocate ""unlawfully"", than to co…",10/08/2021 22:38,1.42523E+18,Zarathhustra,,Perth Western Australia,TRUE,1,0,en,Charities
,"RT @IvoryHecker: Here’s a migrant I met today in McAllen, Texas. Migrants like him process through US Customs &amp; Border Protection and go to…",10/08/2021 22:38,1.42522E+18,Missabel3,,,FALSE,215,0,en,Charities
,"RT @technovikingeth: Favorite underdog project in the space has to be @BlazedCats. Clear mission, solid devs, phenomenal meme potential. If…",10/08/2021 22:37,1.42522E+18,SYVRTNFT,,"Ottawa, Ontario",FALSE,6,0,en,Charities
,"RT @KotuClassic: Kotu Classic #FPL League 2020/21 Winners, Prizes and Charities.

Champion: @FPLPompkino 
1st Runner up: @11Urai 
2nd Runne…",10/08/2021 22:37,1.42522E+18,Chama_A_B,,"Gambia, Kotu",TRUE,1,0,en,Charities
