text,retweets,favorites,user,text_clean
"@tms1967 @MrTimDunn Got them! A very nice set turned up in a local charity shop last year. I briefly worked with JHT as a teenager, on the abortive railway museum in Crystal Palace goods yard.",0,0,cmajrail,tms1967 mrtimdunn got nice set turned local charity shop last year briefly worked jht teenager abortive railway museum crystal palace goods yard
Pray in tongues a lot.,0,0,Charity_Heals,pray tongues lot
"About the whole Matt Caster thing: if he had said at some random Dark episode I wouldn't be too mad but at a event which is marketed as a charity event, it's in extremely poor taste. Hopefully he only gets suspended",0,0,WrestleTalk15,whole matt caster thing said random dark episode would mad event marketed charity event extremely poor taste hopefully gets suspended
"@rhymingmisfit @JoeGrowling I work for a charity that deals with MH &amp; takes it very seriously, the focus is about what's good for you, not the government. DM me if you wish, but remember my job is a signpost. But, I have been there.",0,0,BRUMSTOKIE,rhymingmisfit joegrowling work charity deals mh takes seriously focus good government dm wish remember job signpost
"#Quran 

 O #believers ! Do not make your #charity #worthless by reminders of your #generosity or by #injury to the #recipients #feelings , like those who spend their #wealth to be seen by #people and believe neither in #Allah nor in the Last #Day .

 (2:264)

#Islam
#Muslim",0,0,fahim_venus,quran believers make charity worthless reminders generosity injury recipients feelings like spend wealth seen people believe neither allah last day islam muslim
@Cam_Walker @RNBreakfast No it's not Cam. There are thousands of non for profit organisations  in Australia who have got charity status who rake in a lot of money with very little transparency.,0,0,jane_jamisu8,rnbreakfast cam thousands non profit organisations australia got charity status rake lot money little transparency
"Rumour has it a female journalist is getting the gig, ""Settle petals"" it's not SJ Murphy or Sarah Carey. Oh and bye the way #ResignLeo and take every crony TD, Civil Servant or overpaid Govt appointed ""charity boss"" who partied at the #MerrionGate with you. https://t.co/yl6QhFkLEV",0,0,johnom318,rumour female journalist getting gig settle petals sj murphy sarah carey oh bye way resignleo take every crony td civil servant overpaid govt appointed charity boss partied merriongate
@UnC0mm0nGr0und @thehill 1) Obviously as an adult I know not to vote for someone who steals from charity &amp; from Americans who donated money to charity. It just feels wrong to elect someone who won’t follow the law to be the chief law enforcement officer for the country. Yet the Law &amp; Order party has https://t.co/znhhBqrosJ,0,0,lkeen360,unc0mm0ngr0und thehill 1 obviously adult know vote someone steals charity americans donated money charity feels wrong elect someone wont follow law chief law enforcement officer country yet law order party
@jonasbrothers A BEST BUDDIES CHAPTER needs you! May I talk to you about a charity donation for a silent auction. The charity is Best Buddies! Plz follow to talk! 🥰,0,0,olemiss549,jonasbrothers best buddies chapter needs may talk charity donation silent auction charity best buddies plz follow talk
"An opportunity to make a positive contribution - get in touch through the details below or me via message … #charity #philanthropy  #opportunity #communities #heritage #conservation 
Amanda Richardson MBE Nick White St John Angela Nicholas Winther @JonfyC https://t.co/DtVvokfFw5",0,0,Audiekins,opportunity make positive contribution get touch details via message charity philanthropy opportunity communities heritage conservation amanda richardson mbe nick white st john angela nicholas winther jonfyc
@Richard_Kadrey A BEST BUDDIES CHAPTER needs you! May I talk to you about a charity donation for a silent auction. The charity is Best Buddies! Plz follow to talk! 🥰,0,0,olemiss549,best buddies chapter needs may talk charity donation silent auction charity best buddies plz follow talk
"Starting from Wrexham, north Wales our 11th annual event.
Wednesday June 1st over 50 Evel Knievel clad charity bikers will head out of the town on a 1,200 mile UK adventure challenge to the 3 mainland capital cities &amp; exciting locations enroute. Support @MacmillanCymru 🏍🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/JEyJ60tyac",0,0,RIDECymru,starting wrexham north wales 11th annual event wednesday june 1st 50 evel knievel clad charity bikers head town mile uk adventure challenge 3 mainland capital cities exciting locations enroute support macmillancymru
@TeamSalvato When am I getting those charity stickers for donating $5 a few months back?,0,0,BenjiWalt,teamsalvato getting charity stickers donating 5 months back
